Domaine;Catégorie;Sous cat;Poste;sous poste;;;Sous poste nouveau;Poste nouveau
Energie;Bâtiments;Electricité - Consommation;Par usage;Consommation totale;;;Electricité;Energie
Energie;Bâtiments;Electricité - Consommation;Moyenne;Consommation totale;;;Electricité;Energie
Energie;Bâtiments;Combustibles organiques;Combustibles gazeux;Consommation totale;;;Combustibles organiques;Energie
Energie;Bâtiments;Combustibles organiques;Combustibles liquides;Consommation totale;;;Combustibles organiques;Energie
Energie;Bâtiments;Combustibles organiques;Bois et paille;Consommation totale;;;Combustibles organiques;Energie
Energie;Process;Autres;Tous types;Quantité totale;;;Combustibles fossiles;Energie
Energie;Process;Electricité - Production;Sources non renouvelables;Production totale;;;Electricité;Energie
Energie;Process;Electricité - Production;Sources renouvelables;Production totale;;;Electricité;Energie
Energie;Process;Electricité - Consommation;Par usage;Consommation totale;;;Electricité;Energie
Energie;Process;Electricité - Consommation;Moyenne;Consommation totale;;;Electricité;Energie
Energie;Process;Combustibles organiques;Combustibles liquides;Consommation totale;;;Combustibles organiques;Energie
Energie;Process;Combustibles organiques;Combustibles gazeux;Consommation totale;;;Combustibles organiques;Energie
Energie;Process;Combustibles organiques;Bois et paille;Consommation totale;;;Combustibles organiques;Energie
Energie;Process;Fossiles solides;Anthracite;Consommation totale;;;Combustibles fossiles;Energie
Energie;Process;Fossiles solides;Charbon;Consommation totale;;;Combustibles fossiles;Energie
Energie;Process;Fossiles solides;Houille;Consommation totale;;;Combustibles fossiles;Energie
Energie;Process;Fossiles solides;Lignite;Consommation totale;;;Combustibles fossiles;Energie
Energie;Process;Fossiles solides;Tourbe;Consommation totale;;;Combustibles fossiles;Energie
Energie;Process;Fossiles liquides;Autres produits pétroliers;Consommation totale;;;Combustibles fossiles;Energie
Energie;Process;Fossiles liquides;Bitumes;Consommation totale;;;Combustibles fossiles;Energie
Energie;Process;Fossiles liquides;Combustibles haute viscosité;Consommation totale;;;Combustibles fossiles;Energie
Energie;Process;Fossiles liquides;Fioul domestique;Consommation totale;;;Combustibles fossiles;Energie
Energie;Process;Fossiles liquides;Fioul lourd;Consommation totale;;;Combustibles fossiles;Energie
Energie;Process;Fossiles liquides;Gazole non routier;Consommation totale;;;Combustibles fossiles;Energie
Energie;Process;Fossiles liquides;Huiles de schistes;Consommation totale;;;Combustibles fossiles;Energie
Energie;Process;Fossiles liquides;Naphta;Consommation totale;;;Combustibles fossiles;Energie
Energie;Process;Fossiles gazeux;Butane / Propane;Consommation totale;;;Combustibles fossiles;Energie
Energie;Process;Fossiles gazeux;Autres gaz;Consommation totale;;;Combustibles fossiles;Energie
Energie;Process;Réseaux froid;Tous réseaux;Consommation totale;;;Réseaux de froid;Energie
Energie;Process;Réseaux chaleur;Tous réseaux;Consommation totale;;;Réseaux de chaleur et de vapeur;Energie
Energie;Autre;Autres;Tous types;Quantité totale;;;N/A;Energie
Energie;Autre;Hydrogène;Tous modes;Production totale;;;N/A;Energie
Energie;Autre;Combustibles organiques;Bois et paille;Consommation totale;;;Combustibles organiques;Energie
Energie;Autre;Combustibles organiques;Combustibles gazeux;Consommation totale;;;Combustibles organiques;Energie
Energie;Autre;Combustibles organiques;Combustibles liquides;Consommation totale;;;Combustibles organiques;Energie
Energie;Autre;Electricité - Consommation;Moyenne;Consommation totale;;;Electricité;Energie
Energie;Autre;Electricité - Consommation;Par usage;Consommation totale;;;Electricité;Energie
Energie;Autre;Electricité - Production;Sources renouvelables;Production totale;;;Electricité;Energie
Energie;Autre;Electricité - Production;Sources non renouvelables;Production totale;;;Electricité;Energie
Fin de vie des produits;Déchets banals;Organiques;Stockage;Qantité totale;;;Traitement des déchets en fin de vie;Fin de Vie
Fin de vie des produits;Déchets banals;Inertes (métaux, verre, gravats...);Recyclage;Qantité totale;;;Traitement des déchets en fin de vie;Fin de Vie
Fin de vie des produits;Déchets banals;Ordures ménagères;Moyenne;Qantité totale;;;Traitement des déchets en fin de vie;Fin de Vie
Fin de vie des produits;Déchets banals;Autres;Textiles;Quantité totale;;;Traitement des déchets en fin de vie;Fin de Vie
Fin de vie des produits;Déchets banals;Plastiques;Recyclage;Qantité totale;;;Traitement des déchets en fin de vie;Fin de Vie
Fin de vie des produits;Déchets banals;Plastiques;Moyenne;Qantité totale;;;Traitement des déchets en fin de vie;Fin de Vie
Fin de vie des produits;Déchets banals;Plastiques;Emissions évitées;Quantité totale;;;N/A;
Fin de vie des produits;Déchets banals;Plastiques;Stockage;Qantité totale;;;Traitement des déchets en fin de vie;Fin de Vie
Fin de vie des produits;Déchets banals;Plastiques;Incinération;Qantité totale;;;Traitement des déchets en fin de vie;Fin de Vie
Fin de vie des produits;Déchets spéciaux;Emballages;Tous types;Quantité totale;;;Traitement des emballages en fin de vie;Fin de Vie
Fin de vie des produits;Déchets banals;Organiques;Compost;Qantité totale;;;Traitement des déchets en fin de vie;Fin de Vie
Fin de vie des produits;Déchets banals;Organiques;Moyenne;Qantité totale;;;Traitement des déchets en fin de vie;Fin de Vie
Fin de vie des produits;Déchets banals;Organiques;Incinération;Qantité totale;;;Traitement des déchets en fin de vie;Fin de Vie
Fin de vie des produits;Déchets banals;Organiques;Emissions évitées;Quantité totale;;;N/A;
Fin de vie des produits;Déchets banals;Ordures ménagères;Stockage;Qantité totale;;;Traitement des déchets en fin de vie;Fin de Vie
Fin de vie des produits;Déchets banals;Ordures ménagères;Incinération;Qantité totale;;;Traitement des déchets en fin de vie;Fin de Vie
Fin de vie des produits;Déchets banals;Ordures ménagères;Emissions évitées;Quantité totale;;;N/A;
Fin de vie des produits;Déchets spéciaux;DIS (Déchets Industriels Spéciaux);Incinération;Qantité totale;;;Traitement des déchets en fin de vie;Fin de Vie
Fin de vie des produits;Déchets banals;Inertes (métaux, verre, gravats...);Incinération;Qantité totale;;;Traitement des déchets en fin de vie;Fin de Vie
Fin de vie des produits;Déchets spéciaux;DEA (Déchets d'Elément d'Ameublement);Tous types;Quantité totale;;;Traitement des déchets en fin de vie;Fin de Vie
Fin de vie des produits;Déchets spéciaux;DAS (Déchets d'Activités de Soins);Incinération;Qantité totale;;;Traitement des déchets en fin de vie;Fin de Vie
Fin de vie des produits;Eaux usées;Toutes catégories;Quantités rejetées;Qantité totale;;;Traitement des déchets en fin de vie;Fin de Vie
Fin de vie des produits;Déchets spéciaux;DEEE;Emissions évitées;Quantité totale;;;N/A;
Fin de vie des produits;Déchets spéciaux;DEEE;Tous types;Quantité totale;;;Traitement des déchets en fin de vie;Fin de Vie
Fin de vie des produits;Déchets spéciaux;DIS (Déchets Industriels Spéciaux);Moyenne;Quantité totale;;;Traitement des déchets en fin de vie;Fin de Vie
Fin de vie des produits;Déchets spéciaux;DIS (Déchets Industriels Spéciaux);Stockage;Qantité totale;;;Traitement des déchets en fin de vie;Fin de Vie
Fin de vie des produits;Déchets banals;Inertes (métaux, verre, gravats...);Moyenne;Qantité totale;;;Traitement des déchets en fin de vie;Fin de Vie
Fin de vie des produits;Déchets banals;Ordures ménagères;Compost;Qantité totale;;;Traitement des déchets en fin de vie;Fin de Vie
Fin de vie des produits;Déchets banals;Inertes (métaux, verre, gravats...);Emissions évitées;Quantité totale;;;Traitement des déchets en fin de vie;Fin de Vie
Fin de vie des produits;Déchets banals;Inertes (métaux, verre, gravats...);Stockage;Qantité totale;;;Traitement des déchets en fin de vie;Fin de Vie
Immobilisations;Matériels;Electroménager;Tous types;Nombre d'équipements;;;Equipements;Immobilisations
Immobilisations;Bâtiments;Habitation;Tous types;Surface en m²;;;Bâtiments;Immobilisations
Immobilisations;Parking et voiries;Parkings;Tous types;Surface en m²;;;Autres infrastructures;Immobilisations
Immobilisations;Parking et voiries;Parkings;Tous types;Matériaux;;;Autres infrastructures;Immobilisations
Immobilisations;Parking et voiries;Voiries;Tous types;Surface en m²;;;Autres infrastructures;Immobilisations
Immobilisations;Matériels;Electronique;Tous types;Nombre d'équipements;;;Informatique;Immobilisations
Immobilisations;Parking et voiries;Voiries;Tous types;Matériaux;;;Autres infrastructures;Immobilisations
Immobilisations;Véhicules;Poids lourds;Tous types;Poids;;;Equipements;Immobilisations
Immobilisations;Véhicules;Voitures;Tous types;Poids;;;Equipements;Immobilisations
Immobilisations;Bâtiments;Commerce;Tous types;Surface en m²;;;Bâtiments;Immobilisations
Immobilisations;Véhicules;Engins divers;Tous types;Poids;;;Equipements;Immobilisations
Immobilisations;Bâtiments;Industriel;Tous types;Surface en m²;;;Bâtiments;Immobilisations
Immobilisations;Bâtiments;Tertiaire;Tous types;Surface en m²;;;Bâtiments;Immobilisations
Immobilisations;Bâtiments;Santé;Tous types;Surface en m²;;;Bâtiments;Immobilisations
Immobilisations;Bâtiments;Agricole;Tous types;Surface en m²;;;Bâtiments;Immobilisations
